"lon","lat","d18Of","month"
-90,-78.6315789473684,-11.4652738571167,1
-87.5,-78.6315789473684,-11.2744789123535,1
-85,-78.6315789473684,-11.0059757232666,1
-82.5,-78.6315789473684,-10.7839851379395,1
-80,-78.6315789473684,-10.6190710067749,1
-77.5,-78.6315789473684,-10.5039405822754,1
-75,-78.6315789473684,-10.3899526596069,1
-72.5,-78.6315789473684,-10.2846717834473,1
-70,-78.6315789473684,-10.2352170944214,1
-67.5,-78.6315789473684,-10.1459178924561,1
-65,-78.6315789473684,-9.97164630889893,1
-62.5,-78.6315789473684,-9.76761436462402,1
-60,-78.6315789473684,-9.48988914489746,1
-57.5,-78.6315789473684,-9.15218544006348,1
-55,-78.6315789473684,-8.70367050170898,1
-52.5,-78.6315789473684,-8.19291877746582,1
-50,-78.6315789473684,-8.00778579711914,1
-47.5,-78.6315789473684,-8.02828693389893,1
-45,-78.6315789473684,-8.16282081604004,1
-42.5,-78.6315789473684,-7.5758957862854,1
-40,-78.6315789473684,-7.85434007644653,1
-37.5,-78.6315789473684,-8.51807498931885,1
-35,-78.6315789473684,-9.35404586791992,1
-90,-76.7368421052632,-11.4078359603882,1
-87.5,-76.7368421052632,-11.2830696105957,1
-85,-76.7368421052632,-11.1210289001465,1
-82.5,-76.7368421052632,-10.9900283813477,1
-80,-76.7368421052632,-10.9362478256226,1
-77.5,-76.7368421052632,-10.9283742904663,1
-75,-76.7368421052632,-10.9163522720337,1
-72.5,-76.7368421052632,-10.8861522674561,1
-70,-76.7368421052632,-10.7361793518066,1
-67.5,-76.7368421052632,-10.4354200363159,1
-65,-76.7368421052632,-9.99771690368652,1
-62.5,-76.7368421052632,-9.58552932739258,1
-60,-76.7368421052632,-8.68403911590576,1
-57.5,-76.7368421052632,-7.21602249145508,1
-55,-76.7368421052632,-6.45690727233887,1
-52.5,-76.7368421052632,-6.08396911621094,1
-50,-76.7368421052632,-5.82886600494385,1
-47.5,-76.7368421052632,-5.63709449768066,1
-45,-76.7368421052632,-5.62658071517944,1
-42.5,-76.7368421052632,-5.8198127746582,1
-40,-76.7368421052632,-6.0812463760376,1
-37.5,-76.7368421052632,-6.61687994003296,1
-35,-76.7368421052632,-7.01033735275269,1
-90,-74.8421052631579,-10.4523506164551,1
-87.5,-74.8421052631579,-10.424111366272,1
-85,-74.8421052631579,-10.4980211257935,1
-82.5,-74.8421052631579,-10.6148767471313,1
-80,-74.8421052631579,-10.7744359970093,1
-77.5,-74.8421052631579,-10.9818124771118,1
-75,-74.8421052631579,-11.2025709152222,1
-72.5,-74.8421052631579,-11.355486869812,1
-70,-74.8421052631579,-11.1536569595337,1
-67.5,-74.8421052631579,-11.000358581543,1
-65,-74.8421052631579,-10.3252696990967,1
-62.5,-74.8421052631579,-9.63758850097656,1
-60,-74.8421052631579,-7.84321117401123,1
-57.5,-74.8421052631579,-6.67298030853271,1
-55,-74.8421052631579,-6.21596145629883,1
-52.5,-74.8421052631579,-5.94512224197388,1
-50,-74.8421052631579,-5.86482667922974,1
-47.5,-74.8421052631579,-5.82125425338745,1
-45,-74.8421052631579,-5.80559635162354,1
-42.5,-74.8421052631579,-5.86148548126221,1
-40,-74.8421052631579,-6.16791009902954,1
-37.5,-74.8421052631579,-6.62211322784424,1
-35,-74.8421052631579,-7.26581907272339,1
-90,-72.9473684210526,-9.50181865692139,1
-87.5,-72.9473684210526,-9.56818580627441,1
-85,-72.9473684210526,-9.54176616668701,1
-82.5,-72.9473684210526,-9.60405826568604,1
-80,-72.9473684210526,-9.98494720458984,1
-77.5,-72.9473684210526,-10.4005689620972,1
-75,-72.9473684210526,-10.8580770492554,1
-72.5,-72.9473684210526,-11.3438377380371,1
-70,-72.9473684210526,-11.4906692504883,1
-67.5,-72.9473684210526,-11.2035684585571,1
-65,-72.9473684210526,-10.3029727935791,1
-62.5,-72.9473684210526,-9.10262107849121,1
-60,-72.9473684210526,-7.02309560775757,1
-57.5,-72.9473684210526,-6.39014482498169,1
-55,-72.9473684210526,-6.10924339294434,1
-52.5,-72.9473684210526,-5.97827529907227,1
-50,-72.9473684210526,-5.89288377761841,1
-47.5,-72.9473684210526,-5.96141767501831,1
-45,-72.9473684210526,-6.0650486946106,1
-42.5,-72.9473684210526,-6.28908252716064,1
-40,-72.9473684210526,-6.53156328201294,1
-37.5,-72.9473684210526,-6.95606708526611,1
-35,-72.9473684210526,-7.22683048248291,1
-90,-71.0526315789474,-7.85225343704224,1
-87.5,-71.0526315789474,-7.95154857635498,1
-85,-71.0526315789474,-8.18448638916016,1
-82.5,-71.0526315789474,-8.49429416656494,1
-80,-71.0526315789474,-8.72974681854248,1
